"11.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   10.09. 21:05 Kartenfolge-Nr.: 2"";10.09.2024;-6",40;EUR;11.09.2024 01:53:06:126
"16.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   15.09. 17:19 Kartenfolge-Nr.: 2"";15.09.2024;-6",40;EUR;15.09.2024 17:21:06:002
"16.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   13.09. 21:31 Kartenfolge-Nr.: 2"";13.09.2024;-5",90;EUR;14.09.2024 02:39:21:876
"17.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   16.09. 20:54 Kartenfolge-Nr.: 2"";16.09.2024;-19",50;EUR;17.09.2024 03:11:37:863
"18.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   17.09. 21:31 Kartenfolge-Nr.: 2"";17.09.2024;-6",40;EUR;18.09.2024 02:18:15:904
"19.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   18.09. 20:45 Kartenfolge-Nr.: 2"";18.09.2024;-6",40;EUR;19.09.2024 02:13:38:264
"24.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   24.09. 19:00 Kartenfolge-Nr.: 2"";24.09.2024;-6",40;EUR;24.09.2024 19:17:04:754
"25.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   25.09. 19:09 Kartenfolge-Nr.: 2"";25.09.2024;-6",40;EUR;25.09.2024 19:15:00:962
"26.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   26.09. 18:19 Kartenfolge-Nr.: 2"";26.09.2024;-6",40;EUR;26.09.2024 18:38:02:328
"27.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   27.09. 17:32 Kartenfolge-Nr.: 2"";27.09.2024;-6",40;EUR;27.09.2024 17:44:02:101
"30.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   30.09. 18:12 Kartenfolge-Nr.: 2"";30.09.2024;-6",40;EUR;30.09.2024 18:14:08:751
"01.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   01.10. 15:01 Kartenfolge-Nr.: 2"";01.10.2024;-6",40;EUR;01.10.2024 15:26:05:138
"02.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   02.10. 14:33 Kartenfolge-Nr.: 2"";02.10.2024;-6",40;EUR;02.10.2024 14:38:03:591
"04.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   03.10. 19:53 Kartenfolge-Nr.: 2"";03.10.2024;-6",40;EUR;04.10.2024 02:12:12:340
"07.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   06.10. 16:40 Kartenfolge-Nr.: 2"";06.10.2024;-6",40;EUR;06.10.2024 16:49:02:999
"07.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   05.10. 19:17 Kartenfolge-Nr.: 2"";05.10.2024;-10",60;EUR;05.10.2024 19:28:01:439
"10.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   09.10. 20:43 Kartenfolge-Nr.: 2"";09.10.2024;-6",40;EUR;10.10.2024 02:12:36:831
"11.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   10.10. 21:21 Kartenfolge-Nr.: 2"";10.10.2024;-6",40;EUR;11.10.2024 02:56:54:730
"14.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   13.10. 17:42 Kartenfolge-Nr.: 2"";13.10.2024;-6",40;EUR;13.10.2024 17:48:02:005
"14.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   12.10. 21:12 Kartenfolge-Nr.: 2"";12.10.2024;-6",40;EUR;13.10.2024 03:12:51:402
"17.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   17.10. 17:18 Kartenfolge-Nr.: 2"";17.10.2024;-6",40;EUR;17.10.2024 17:28:03:521
"18.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   18.10. 18:02 Kartenfolge-Nr.: 2"";18.10.2024;-6",40;EUR;18.10.2024 18:11:03:448
"24.10.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   24.10. 17:20 Kartenfolge-Nr.: 2"";24.10.2024;-6",40;EUR;24.10.2024 17:25:05:623
